City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,coronel suarez,-37.4547,-61.9334,17.88,19,98,3.97,AR,1699816434
157,hithadhoo,-0.6,73.0833,27.35,80,63,2.65,MV,1699816434
158,kayes,14.0,-11.0,33.2,14,100,2.6,ML,1699816434
159,whakatane,-37.9585,176.9854,15.49,77,0,0.89,NZ,1699816435
160,pacific grove,36.6177,-121.9166,23.01,63,0,4.47,US,1699816435
161,landerneau,48.4525,-4.2525,13.49,94,100,8.75,FR,1699816435
162,villamontes,-21.25,-63.5,44.37,18,1,2.83,BO,1699816436
163,lerwick,60.1545,-1.1494,8.0,77,23,5.37,GB,1699816436
164,shorewood,41.52,-88.2017,14.67,49,0,7.2,US,1699816436
165,saidpur,25.7777,88.8917,21.04,65,0,1.95,BD,1699816437
166,jacmel,18.2342,-72.5347,33.91,59,21,1.84,HT,1699816146
167,fukuecho,32.6881,128.8419,11.98,63,100,13.25,JP,1699816437
168,coquimbo,-29.9533,-71.3436,17.25,64,0,6.88,CL,1699816438
169,bukittinggi,-0.3091,100.3706,19.37,98,100,0.82,ID,1699816438
170,tralee,52.2704,-9.7026,9.92,97,100,3.14,IE,1699816439
171,bac lieu,9.285,105.7244,26.63,87,98,6.37,VN,1699816440
172,puerto deseado,-47.7503,-65.8938,10.05,42,69,10.29,AR,1699816285
173,bandundu,-3.3167,17.3667,21.83,96,96,1.5,CD,1699816441
174,constitucion,-35.3333,-72.4167,14.28,48,0,8.7,CL,1699816442
175,qulsary,46.9531,54.0198,6.0,60,52,6.64,KZ,1699816442
176,sabang,5.8933,95.3214,27.84,74,100,3.42,ID,1699816442
177,queenstown,-31.8976,26.8753,11.69,71,0,2.3,ZA,1699816443
178,papatowai,-46.5619,169.4708,11.39,89,100,1.92,NZ,1699816443
179,sao joao da barra,-21.6403,-41.0511,34.05,76,56,5.09,BR,1699816248
180,valentin gomez farias,28.2167,-106.5833,13.8,73,100,3.78,MX,1699816444
181,teluknaga,-6.0989,106.6381,29.1,100,20,2.06,ID,1699816444
182,sorsk,54.0033,90.2467,-6.59,92,100,2.1,RU,1699816444
183,polyarnyy,69.1989,33.4478,-7.37,97,88,4.82,RU,1699816445
184,chegdomyn,51.1167,133.0167,-14.23,97,100,0.19,RU,1699816445
185,berbera,10.4396,45.0143,28.46,74,81,3.9,SO,1699816445
186,kitimat,54.0524,-128.6534,3.21,64,100,1.79,CA,1699816446
187,zhoushan,30.0108,122.2047,10.54,58,10,10.48,CN,1699816446
188,minas de marcona,-15.2119,-75.1103,17.18,79,85,7.35,PE,1699816183
189,ambodifotatra,-16.9833,49.85,25.2,71,40,2.42,MG,1699816447
190,hermanus,-34.4187,19.2345,15.84,77,0,3.51,ZA,1699816447
191,sitka,57.0531,-135.33,4.94,81,0,2.57,US,1699816447
192,kutum,14.2,24.6667,27.41,27,100,1.18,SD,1699816448
193,eket,4.6412,7.9209,25.38,90,61,2.16,NG,1699816448
194,ancud,-41.8697,-73.8203,9.81,51,53,4.8,CL,1699816184
195,aasiaat,68.7098,-52.8699,-13.26,84,99,3.28,GL,1699816448
196,axim,4.8699,-2.2405,26.66,86,4,3.52,GH,1699816449
197,bardai,11.65,7.2333,25.35,21,2,2.86,NG,1699816449
198,esikhaleni,-28.871,31.8996,20.16,79,100,6.02,ZA,1699816449
199,dikhil,11.5,42.1667,24.81,66,15,4.39,DJ,1699816450
200,saldanha,-33.0117,17.9442,16.03,81,0,11.05,ZA,1699816450
201,prince rupert,54.3161,-130.3201,6.83,70,100,6.17,CA,1699816450
202,stirling,56.119,-3.9368,7.62,88,100,2.68,GB,1699816450
203,wafangdian,39.6183,122.0081,-4.32,63,0,2.9,CN,1699816451
204,zeya,53.75,127.2667,-3.62,42,15,4.13,RU,1699816451
205,egilsstadir,65.2653,-14.3948,-2.05,93,75,4.12,IS,1699816451
206,punta del este,-34.9667,-54.95,19.06,69,75,9.77,UY,1699816451
207,karwar,14.8,74.1333,26.02,66,100,2.0,IN,1699816452
208,oppdal,62.5943,9.6912,-5.71,82,28,3.22,NO,1699816452
209,beloyarskiy,63.7119,66.6722,-7.78,98,67,2.24,RU,1699816156
210,kiunga,-6.1219,141.2906,21.38,99,41,0.93,PG,1699816453
211,ustka,54.5805,16.8619,4.8,87,100,4.26,PL,1699816453
212,angra do heroismo,38.65,-27.2167,21.34,94,40,6.26,PT,1699816166
213,cognac,45.5,-0.25,15.78,94,100,5.14,FR,1699816454
214,bonanza,14.0289,-84.591,26.91,89,79,1.84,NI,1699816454
215,vredendal,-31.6683,18.5012,17.3,56,0,7.7,ZA,1699816455
216,vyetka,52.5591,31.1794,4.43,100,100,9.0,BY,1699816455
217,tarakan,3.3,117.6333,26.78,80,100,2.65,ID,1699816455
218,west island,-12.1568,96.8225,25.99,89,75,3.6,CC,1699816456
219,caleta de carquin,-11.0925,-77.6267,22.17,74,31,5.17,PE,1699816457
220,anna regina,7.2644,-58.5077,29.23,70,8,5.14,GY,1699816457
221,parfino,57.9731,31.6481,2.91,96,100,4.17,RU,1699816457
222,masterton,-40.9597,175.6575,13.82,79,100,2.57,NZ,1699816234
223,malindi,-3.2175,40.1191,26.51,84,100,2.76,KE,1699816458
224,san miguel,13.4833,-88.1833,32.87,56,7,1.09,SV,1699816459
225,sidi khaled,34.387,4.9879,21.87,29,0,4.36,DZ,1699816459
226,nikolayevsk-on-amure,53.1406,140.73,-8.49,92,80,4.59,RU,1699816459
227,baytown,29.7355,-94.9774,19.49,88,100,3.31,US,1699816231
228,nueva gerona,21.8833,-82.8,28.7,59,100,4.32,CU,1699816460
